Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10
2025-12-01,China’s fast-food and beverage brands have an opportunity to expand in the United States and escape cutthroat competition at home.,Some British business owners are determined to keep their access to American consumers but they are facing trade-offs.,Remote work means less training and opportunity for advancement especially for younger workers research suggests. Some are getting the message.,Sales are softening at big chains and independent shops aren’t selling as many extras. Competition diet trends and consumer anxiety may all be playing a part.,The move by the parent company of ChatGPT is meant to help imbue Thrive Holdings’ accounting and I.T. services companies with artificial intelligence tools.,Volatility has returned to stocks and crypto trading despite assurances from a top administration official as investors brace for more data on consumers.,Plus should you endure a stultifying work life to enable a happy personal life?,The end of a tariff exemption on goods worth $800 or less has left some U.S. shoppers with an extra shipping bill that must be paid before delivery.,At M.I.T. a new program called “artificial intelligence and decision-making” is now the second-most-popular undergraduate major.,President Trump has complained that wealthy countries like Britain pay too little for drugs leading America to bear much of the burden of the costs of medicines.
2025-12-02,John Giannandrea hired from Google is leaving after the release of a new Siri was postponed. Apple has fallen behind rivals in efforts to develop A.I. products.,Several new start-ups are building replicas of sites so A.I. can learn to use the internet and maybe replace white-collar workers.,The deal with a company owned by Embraer gives Beta Technologies an additional source of revenue as it develops its own electric aircraft.,The tech billionaire and his wife hope other philanthropists follow their $6 billion lead in expanding the reach of soon-to-be-created “Trump accounts.”,Next year Michael and Susan Dell plan to move $250 into the new Trump accounts of millions of children under 10. You’ll need to live in the right ZIP code.,The fund-raising effort the company’s third this year values it at $11 billion and comes amid stiff competition in the increasingly popular industry.,Michael Dell and his wife Susan Dell plan to give away billions of dollars to fund investment accounts for children in the United States.,The government said the rules were needed to prevent theft and other crime. Its opponents and privacy activists regard the app as a tool of mass surveillance.,A new group of media figures was given credentials to cover the Pentagon after many traditional news outlets refused to sign its new reporting rules.,
2025-12-03,The case centers on false vote-rigging claims broadcast by Fox News during the 2020 U.S. presidential election.,The Supreme Court has not yet ruled on the legality of President Trump’s sweeping tariffs but some companies aren’t waiting to try to secure a speedy and substantial payout.,Bitcoin has plunged more than 30 percent and Ether is down around 40 percent in recent months as gains from President Trump’s pro-crypto policies evaporated.,While growing evidence shows that carbon emissions are harming the economy the journal Nature found that an outlier paper had deep flaws.,Scott Bessent Erika Kirk Gavin Newsom Dario Amodei Mary Barra Alex Karp MrBeast Lai Ching-te and Larry Fink are among the big names speaking.,Macy’s raised its sales forecast for the year after strong results at its upscale chain highlighting how higher-income consumers continue to spend relatively freely.,Here’s the latest on the 2025 DealBook Summit.,Andrew Ross Sorkin will interview some of the most powerful people from Wall Street Silicon Valley and Washington.,Artificial intelligence inflation and the incoming Trump administration were big topics of conversation.,The DealBook Summit has interviewed top leaders since 2012.
2025-12-04,The California governor weighed in on the 2028 presidential election and called out executives for “bending the knee” to President Trump.,President Trump’s economic policies and artificial intelligence were among the central topics at the gathering of business and political leaders.,The widow of Charlie Kirk promoted conciliation and portrayed her late husband as a seeker of dialogue.,Skilled workers from Taiwan engaged in the chip industry have found ways to ease the transition to America while making an imprint on Greater Phoenix.,The transformation of Phoenix into a semiconductor hub by Taiwan’s TSMC illustrates the difficulties of large-scale projects in the United States.,The success of efforts to turn Phoenix into a dominant center of semiconductor manufacturing may hinge on efforts to train local workers.,The lawsuit said the Defense Department’s new set of rules for journalists “violates the Constitution’s guarantees of due process freedom of speech and freedom of the press.”,Gary Goldman who has battled Disney in court over the franchise thinks the viper Gary De’Snake is based on him.,If companies can modify internet-connected products and charge subscriptions after people have already purchased them what does it mean to own anything anymore?,The start-up is now valued at about $8 billion as it pushes to add new customers including those outside law firms.
2025-12-05,The deal to acquire the Hollywood behemoth’s television and film studios as well as HBO Max will bulk up the world’s biggest paid streaming service.,An early grid battery was installed in the Atacama Desert in Chile 15 years ago. Now as prices have tumbled they are increasingly being used around the world.,Complaints about the calls have risen and some older Americans have discovered that their Medicare accounts were already compromised.,The case over online transparency has become a point of contention between the European Union and the Trump administration.,IndiGo which controls nearly two-thirds of the domestic market blamed the disruption on weather tech systems and rules about rest for crew members. Pilots said the company was cutting corners.,Netflix struck a deal to buy one of Hollywood’s most storied studios. But a scorned rival and the Trump administration may put up a fight.,Filed in federal court on Friday the suit joins more than 40 other court disputes between copyright holders and A.I. companies.,Shifting expectations of a Fed rate cut reflect underlying uncertainty about politics and the economy. Here are some essentials for managing risk in investing.,Starting next year people who became disabled by age 46 will be eligible for ABLE accounts. The accounts have been slow to catch on partly because the current age limit is 26.,The most recent Personal Consumption Expenditures index was delayed because of the government shutdown.
2025-12-06,In the age of artificial intelligence some company leaders are framing new business lines as radical reboots.,A wave of companies are petitioning for exemptions from the Trump administration’s high levies on foreign-made goods saying they are hurting business and raising prices.,Michael and Susan Dell’s $6.25 billion donation to child savings accounts fits a trend: giving with no strings attached. In some ways it’s a bipartisan philosophy.,The new repost option sandwiched between comment and share has led to consternation and accidental reposts by some users.,Much of the entertainment capital fears that Netflix’s deal will lead to more job losses and theater closings and fewer boundary-pushing movies.,The cash-and-stock deal would give the world’s largest paid streaming service expansive power over theater owners and entertainment-industry unions.,The U.S. treasury secretary spoke with Andrew Ross Sorkin at the DealBook Summit on Wednesday.,Magnets in the toy pip-Cubes can fall out of the blocks and be swallowed by children causing injury or death federal regulators warned.,,
2025-12-07,As wealthier areas are pushing back against huge A.I. data centers speculators are pitching places like Doña Ana County N.M. on their vision. Local officials are eager for a deal — even if they don’t quite know the terms.,Through layers of intermediaries stablecoins can be moved swapped and mixed into pools of other funds in ways that are difficult to trace experts say.,You can use stablecoins which are pegged to the dollar to buy things online or send money abroad with minimal fees — and they are subject to very little legal oversight.,The standard advice is to hold off but most retirees claim the benefit as soon as they can at age 62. Here’s what to know when you’re planning the unplannable.,Netflix’s blockbuster deal to buy Warner Bros. including HBO is the latest twist in a rivalry that has reshaped the entertainment industry.,The Anthropic chief executive spoke with Andrew Ross Sorkin at the DealBook Summit.,As political pressure mounts and campuses face new cultural and financial strains higher education confronts a test of purpose and survival.,As U.S. policies upend old alliances and norms global power is shifting and the stakes are growing.,The Treasury Secretary said on Sunday he recently shed his holdings to comply with his federal ethics agreement.,
2025-12-08,President Trump’s tariffs weren’t enough to hold back the global export flood by China which pushed past last year’s record in just 11 months.,China’s renminbi is lagging the currencies of key trading partners making Chinese goods and services cheap and helping to drive exports.,The studio’s film “One Battle After Another” and an HBO show it owns “The White Lotus” scored the most nominations for movies and television shows.,The chair of the central bank is dealing with internal divisions while being besieged by President Trump and front-runners jockeying to replace him.,Nepal’s anti-graft watchdog said the state-owned Chinese firm and Nepali officials colluded to inflate the costs of an international airport in Pokhara.,President Trump said the acquisition “could be a problem” suggesting he will insert himself into the regulatory review of the transaction.,The fate of the blockbuster Hollywood deal is in the hands of federal regulators.,The offer to shareholders comes days after Warner Bros. agreed to sell its streaming and studio business to Netflix.,The European Commission said Meta which owns both platforms is giving users the option of sharing less data in exchange for less personalized ads.,The developer of ICEBlock which notifies users of ICE agent sightings said Attorney General Pam Bondi censored his free speech.
2025-12-09,The findings are the latest example of how the notion of a single price is breaking down in the digital age a trend economists say could be pushing up some prices.,President Trump said Nvidia can export some chips. But years of U.S. restrictions have propelled China to make everything it needs for advanced A.I.,President Trump’s move fulfills a major goal of the chipmaker. But the move faces opposition in Washington — and uncertainty in Beijing.,Silicon Valley is again betting everything on a new technology. But the mania is not a reboot of the late-1990s frenzy.,The valuations of some artificial intelligence companies are approaching those of the dot-com boom. But investors worry that pulling money from today’s market risks future gains.,The philanthropist known for donating to historically Black colleges and nonprofits working on climate change offered the news by updating an October blog post.,The tug of war for Warner Bros. Discovery echoes an earlier clash of media titans.,Caren Bohan who was named editor in chief in September 2024 will no longer continue in her role “effective immediately” the company told employees.,,
2025-12-10,An executive left TSMC for Intel. Taiwan’s government says that could threaten its national security.,Coupang said Park Dae-jun would step down to accept “grave responsibility” for the leak that exposed information on nearly 34 million customer accounts.,An us-versus-them mentality has emerged between Meta’s top artificial intelligence team and longtime lieutenants to Mark Zuckerberg.,Lip-Bu Tan who was appointed chief executive of Intel in March is also a longtime venture capitalist. His dual roles have caused some consternation.,The central bank’s decision to lower interest rates for a third straight meeting was highly contentious reflecting an internal divide that will likely limit how much borrowing costs will fall next year.,Caught between Beijing and the Trump administration the International Monetary Fund offered mild criticism of China for relying too heavily on exports.,The central bank is widely expected to lower its benchmark lending rate on Wednesday. But investors are worried about what comes afterward.,He replaces John Dickerson and Maurice DuBois in one of the most high-profile decisions of Bari Weiss’s early tenure as the network’s editor in chief.,The end of Jerome Powell’s term as Fed chair will give President Trump his biggest opportunity yet to reshape the central bank.,President Trump’s unusual decision to involve himself in the government’s review of the deal puts pressure on his antitrust chief.
