window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
1,1,2025-07-19,5.588833332061768,5.3020734786987305,5.3020734786987305,5.40882682800293,5.3020734786987305,5.3020734786987305,5.40882682800293,5.578000068664551
1,2,2025-07-20,5.599666595458984,5.337657928466797,5.337657928466797,5.515579700469971,5.337657928466797,5.337657928466797,5.515579700469971,5.578000068664551
1,3,2025-07-21,5.610499858856201,5.337657928466797,5.3020734786987305,5.515579700469971,5.3020734786987305,5.337657928466797,5.515579700469971,5.578000068664551
1,4,2025-07-22,5.697000026702881,5.40882682800293,5.337657928466797,5.515579700469971,5.337657928466797,5.40882682800293,5.515579700469971,5.578000068664551
1,5,2025-07-23,5.795000076293945,5.373242378234863,5.373242378234863,5.515579700469971,5.373242378234863,5.373242378234863,5.515579700469971,5.578000068664551
1,6,2025-07-24,5.7769999504089355,5.373242378234863,5.337657928466797,5.551164150238037,5.337657928466797,5.373242378234863,5.551164150238037,5.578000068664551
1,7,2025-07-25,5.763500213623047,5.373242378234863,5.373242378234863,5.551164150238037,5.373242378234863,5.373242378234863,5.551164150238037,5.578000068664551
2,1,2025-07-20,5.599666595458984,5.422954559326172,5.422954559326172,5.422954559326172,5.422954559326172,5.422954559326172,5.422954559326172,5.588833332061768
2,2,2025-07-21,5.610499858856201,5.52998685836792,5.494309425354004,5.52998685836792,5.494309425354004,5.52998685836792,5.52998685836792,5.588833332061768
2,3,2025-07-22,5.697000026702881,5.52998685836792,5.52998685836792,5.52998685836792,5.52998685836792,5.52998685836792,5.52998685836792,5.588833332061768
2,4,2025-07-23,5.795000076293945,5.52998685836792,5.422954559326172,5.52998685836792,5.422954559326172,5.52998685836792,5.52998685836792,5.588833332061768
2,5,2025-07-24,5.7769999504089355,5.52998685836792,5.458631992340088,5.52998685836792,5.458631992340088,5.52998685836792,5.52998685836792,5.588833332061768
2,6,2025-07-25,5.763500213623047,5.565663814544678,5.494309425354004,5.565663814544678,5.494309425354004,5.565663814544678,5.565663814544678,5.588833332061768
2,7,2025-07-26,5.707333564758301,5.565663814544678,5.565663814544678,5.601341247558594,5.565663814544678,5.565663814544678,5.601341247558594,5.588833332061768
3,1,2025-07-21,5.610499858856201,5.435125827789307,5.435125827789307,5.506640434265137,5.435125827789307,5.435125827789307,5.506640434265137,5.599666595458984
3,2,2025-07-22,5.697000026702881,5.542397975921631,5.470883369445801,5.542397975921631,5.470883369445801,5.542397975921631,5.542397975921631,5.599666595458984
3,3,2025-07-23,5.795000076293945,5.542397975921631,5.542397975921631,5.542397975921631,5.542397975921631,5.542397975921631,5.542397975921631,5.599666595458984
3,4,2025-07-24,5.7769999504089355,5.542397975921631,5.470883369445801,5.542397975921631,5.470883369445801,5.542397975921631,5.542397975921631,5.599666595458984
3,5,2025-07-25,5.763500213623047,5.542397975921631,5.470883369445801,5.542397975921631,5.470883369445801,5.542397975921631,5.542397975921631,5.599666595458984
3,6,2025-07-26,5.707333564758301,5.578155517578125,5.506640434265137,5.578155517578125,5.506640434265137,5.578155517578125,5.578155517578125,5.599666595458984
3,7,2025-07-27,5.6511664390563965,5.578155517578125,5.578155517578125,5.613912582397461,5.578155517578125,5.578155517578125,5.613912582397461,5.599666595458984
4,1,2025-07-22,5.697000026702881,5.44703483581543,5.44703483581543,5.518706321716309,5.44703483581543,5.44703483581543,5.518706321716309,5.610499858856201
4,2,2025-07-23,5.795000076293945,5.554542064666748,5.482870578765869,5.554542064666748,5.482870578765869,5.554542064666748,5.554542064666748,5.610499858856201
4,3,2025-07-24,5.7769999504089355,5.518706321716309,5.482870578765869,5.554542064666748,5.482870578765869,5.518706321716309,5.554542064666748,5.610499858856201
4,4,2025-07-25,5.763500213623047,5.518706321716309,5.482870578765869,5.554542064666748,5.482870578765869,5.518706321716309,5.554542064666748,5.610499858856201
4,5,2025-07-26,5.707333564758301,5.554542064666748,5.482870578765869,5.554542064666748,5.482870578765869,5.554542064666748,5.554542064666748,5.610499858856201
4,6,2025-07-27,5.6511664390563965,5.5903778076171875,5.5903778076171875,5.5903778076171875,5.5903778076171875,5.5903778076171875,5.5903778076171875,5.610499858856201
4,7,2025-07-28,5.59499979019165,5.5903778076171875,5.5903778076171875,5.626213550567627,5.5903778076171875,5.5903778076171875,5.626213550567627,5.610499858856201
5,1,2025-07-23,5.795000076293945,5.531360626220703,5.459525108337402,5.531360626220703,5.459525108337402,5.531360626220703,5.531360626220703,5.697000026702881
5,2,2025-07-24,5.7769999504089355,5.495442867279053,5.495442867279053,5.495442867279053,5.495442867279053,5.495442867279053,5.495442867279053,5.697000026702881
5,3,2025-07-25,5.763500213623047,5.495442867279053,5.495442867279053,5.531360626220703,5.495442867279053,5.495442867279053,5.531360626220703,5.697000026702881
5,4,2025-07-26,5.707333564758301,5.495442867279053,5.495442867279053,5.5672783851623535,5.495442867279053,5.495442867279053,5.5672783851623535,5.697000026702881
5,5,2025-07-27,5.6511664390563965,5.5672783851623535,5.495442867279053,5.603196620941162,5.495442867279053,5.5672783851623535,5.603196620941162,5.697000026702881
5,6,2025-07-28,5.59499979019165,5.603196620941162,5.603196620941162,5.603196620941162,5.603196620941162,5.603196620941162,5.603196620941162,5.697000026702881
5,7,2025-07-29,5.603499889373779,5.603196620941162,5.603196620941162,5.603196620941162,5.603196620941162,5.603196620941162,5.603196620941162,5.697000026702881
