window,mse,mae,smape,crps,wis50,wis80,wis90,cov50,cov80,cov90,sharp80,ece_q,mse_naive,mae_naive,pinball_p10,pinball_p50,pinball_p90
1,0.11450959742069244,0.3322224020957947,6.004911661148071,0.24800550937652588,0.9717754125595093,1.9700186252593994,3.7671988010406494,0.0,0.0,0.0,0.17283834517002106,0.4999999999999999,0.019557755440473557,0.11221422255039215,0.035255637019872665,0.16611120104789734,0.16174623370170593
2,0.03657998889684677,0.18225295841693878,3.2403267920017242,0.1816323697566986,0.734108567237854,1.8174326419830322,3.5991880893707275,0.0,0.0,0.0,0.04587091878056526,0.4999999999999999,0.019249865785241127,0.11830956488847733,0.022302711382508278,0.09112647920846939,0.1594405472278595
3,0.03491535782814026,0.17721019685268402,3.1469497829675674,0.17394258081912994,0.7139490842819214,1.6750468015670776,3.30411958694458,0.0,0.0,0.0,0.05619008094072342,0.4999999999999999,0.017182758077979088,0.11483342200517654,0.021807575598359108,0.08860509842634201,0.14569710195064545
4,0.03914345055818558,0.17310182750225067,3.073391877114773,0.16917863488197327,0.6924073100090027,1.5759531259536743,3.095592737197876,0.0,0.14285714285714285,0.14285714285714285,0.05631330981850624,0.4774436090225563,0.014846397563815117,0.10621445626020432,0.02038182131946087,0.08655091375112534,0.13721348345279694
5,0.038948144763708115,0.15964753925800323,2.834666892886162,0.14942941069602966,0.6129345893859863,1.432279348373413,2.7260186672210693,0.0,0.0,0.0,0.041048936545848846,0.3714285714285714,0.005968585144728422,0.07088109105825424,0.018953977152705193,0.07982376962900162,0.12427394092082977
6,0.026263603940606117,0.12376029044389725,2.1995654329657555,0.11851359158754349,0.495041161775589,1.145019769668579,2.182539224624634,0.0,0.0,0.0,0.010287011973559856,0.28571428571428575,0.02242673747241497,0.12821435928344727,0.019231585785746574,0.061880145221948624,0.09527039527893066
7,0.2551472783088684,0.2700950801372528,5.229604244232178,0.2618327736854553,1.0546014308929443,2.566901445388794,4.917263507843018,0.0,0.0,0.0,0.02062300220131874,0.28571428571428575,0.31704381108283997,0.31685706973075867,0.18291448056697845,0.1350475400686264,0.07377564907073975
8,0.4658951759338379,0.40154123306274414,7.936851680278778,0.3947412073612213,1.5906635522842407,3.9113285541534424,7.6418070793151855,0.0,0.14285714285714285,0.14285714285714285,0.015501431189477444,0.26315789473684215,0.5694141983985901,0.49635738134384155,0.3307033181190491,0.20077061653137207,0.06042952463030815
9,0.6911112666130066,0.565463125705719,11.221116781234741,0.5532156825065613,2.238764524459839,5.333885192871094,10.543770790100098,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.041419096291065216,0.18120300751879698,0.7560166120529175,0.6250478625297546,0.46884292364120483,0.2827315628528595,0.06454558670520782
10,0.8863848447799683,0.721534788608551,14.36711996793747,0.7149741053581238,2.863795042037964,7.130958557128906,14.225608825683594,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.036309242248535156,0.2736842105263158,0.9075526595115662,0.7455950379371643,0.6383028626441956,0.3607673943042755,0.0747930184006691
11,1.0751718282699585,0.8806154131889343,17.56575107574463,0.8705540299415588,3.517265796661377,8.51517105102539,16.957595825195312,0.0,0.0,0.0,0.07274586707353592,0.37142857142857133,1.0258663892745972,0.8604283928871155,0.7606218457221985,0.44030770659446716,0.09089525043964386
12,1.3019248247146606,1.056648850440979,21.10077291727066,1.0378984212875366,4.169335842132568,10.217728614807129,20.37299156188965,0.0,0.0,0.0,0.06766966730356216,0.5000000000000001,1.260004997253418,1.0435713529586792,0.9135052561759949,0.5283244252204895,0.10826756060123444
13,1.329588770866394,1.1512444019317627,23.172403872013092,1.1266260147094727,4.55804967880249,10.923234939575195,21.61704444885254,0.0,0.0,0.0,0.14078453183174133,0.5000000000000001,1.389785885810852,1.1785002946853638,0.9704205393791199,0.5756222009658813,0.1219029575586319
14,1.5593572854995728,1.2477550506591797,24.841859936714172,1.1892759799957275,4.985811710357666,12.243163108825684,20.72676658630371,0.0,0.0,0.0,0.07812881469726562,0.5000000000000001,0.004973146133124828,0.06785692274570465,1.0948530435562134,0.6238775253295898,0.12946322560310364
15,0.021271707490086555,0.12832416594028473,2.8642969205975533,0.1113860085606575,0.4820713996887207,0.9498748779296875,1.634338617324829,0.0,0.14285714285714285,0.14285714285714285,0.07285826653242111,0.47744360902255645,0.000832749530673027,0.0217143464833498,0.07903256267309189,0.06416208297014236,0.015954909846186638
16,0.02472086064517498,0.1458388715982437,3.2522406429052353,0.1290292590856552,0.5521580576896667,1.0996185541152954,2.1524407863616943,0.0,0.0,0.0,0.05719525367021561,0.5000000000000001,0.0009885291801765561,0.026095254346728325,0.09381809085607529,0.07291943579912186,0.016143757849931717
