window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
1,1,2025-07-19,5.588833332061768,5.052982330322266,4.981813907623291,5.088566780090332,4.981813907623291,5.052982330322266,5.088566780090332,5.578000068664551
1,2,2025-07-20,5.599666595458984,5.017398357391357,4.946229457855225,5.088566780090332,4.946229457855225,5.017398357391357,5.088566780090332,5.578000068664551
1,3,2025-07-21,5.610499858856201,4.946229457855225,4.946229457855225,4.946229457855225,4.946229457855225,4.946229457855225,4.946229457855225,5.578000068664551
1,4,2025-07-22,5.697000026702881,5.017398357391357,4.875060558319092,5.088566780090332,4.875060558319092,5.017398357391357,5.088566780090332,5.578000068664551
1,5,2025-07-23,5.795000076293945,5.052982330322266,5.052982330322266,5.124151706695557,5.052982330322266,5.052982330322266,5.124151706695557,5.578000068664551
1,6,2025-07-24,5.7769999504089355,5.052982330322266,5.017398357391357,5.124151706695557,5.017398357391357,5.052982330322266,5.124151706695557,5.578000068664551
1,7,2025-07-25,5.763500213623047,4.946229457855225,4.946229457855225,5.088566780090332,4.946229457855225,4.946229457855225,5.088566780090332,5.578000068664551
2,1,2025-07-20,5.599666595458984,5.066181182861328,5.066181182861328,5.101858615875244,5.066181182861328,5.066181182861328,5.101858615875244,5.588833332061768
2,2,2025-07-21,5.610499858856201,5.030503749847412,4.959149360656738,5.101858615875244,4.959149360656738,5.030503749847412,5.101858615875244,5.588833332061768
2,3,2025-07-22,5.697000026702881,4.959149360656738,4.959149360656738,4.959149360656738,4.959149360656738,4.959149360656738,4.959149360656738,5.588833332061768
2,4,2025-07-23,5.795000076293945,5.101858615875244,4.923471927642822,5.315922737121582,4.923471927642822,5.101858615875244,5.315922737121582,5.588833332061768
2,5,2025-07-24,5.7769999504089355,5.066181182861328,4.923471927642822,5.137536525726318,4.923471927642822,5.066181182861328,5.137536525726318,5.588833332061768
2,6,2025-07-25,5.763500213623047,5.066181182861328,4.959149360656738,5.101858615875244,4.959149360656738,5.066181182861328,5.101858615875244,5.588833332061768
2,7,2025-07-26,5.707333564758301,4.959149360656738,4.959149360656738,5.101858615875244,4.959149360656738,4.959149360656738,5.101858615875244,5.588833332061768
3,1,2025-07-21,5.610499858856201,5.113308906555176,5.077551364898682,5.113308906555176,5.077551364898682,5.113308906555176,5.113308906555176,5.599666595458984
3,2,2025-07-22,5.697000026702881,5.041794300079346,4.970279216766357,5.113308906555176,4.970279216766357,5.041794300079346,5.113308906555176,5.599666595458984
3,3,2025-07-23,5.795000076293945,4.970279216766357,4.970279216766357,5.077551364898682,4.970279216766357,4.970279216766357,5.077551364898682,5.599666595458984
3,4,2025-07-24,5.7769999504089355,5.327853679656982,5.041794300079346,5.327853679656982,5.041794300079346,5.327853679656982,5.327853679656982,5.599666595458984
3,5,2025-07-25,5.763500213623047,5.077551364898682,4.970279216766357,5.149066925048828,4.970279216766357,5.077551364898682,5.149066925048828,5.599666595458984
3,6,2025-07-26,5.707333564758301,4.970279216766357,4.970279216766357,5.077551364898682,4.970279216766357,4.970279216766357,5.077551364898682,5.599666595458984
3,7,2025-07-27,5.6511664390563965,4.970279216766357,4.970279216766357,5.113308906555176,4.970279216766357,4.970279216766357,5.113308906555176,5.599666595458984
4,1,2025-07-22,5.697000026702881,5.088677406311035,5.017005920410156,5.124513149261475,5.017005920410156,5.088677406311035,5.124513149261475,5.610499858856201
4,2,2025-07-23,5.795000076293945,5.052841663360596,4.981170177459717,5.124513149261475,4.981170177459717,5.052841663360596,5.124513149261475,5.610499858856201
4,3,2025-07-24,5.7769999504089355,4.981170177459717,4.909498691558838,5.088677406311035,4.909498691558838,4.981170177459717,5.088677406311035,5.610499858856201
4,4,2025-07-25,5.763500213623047,5.160349369049072,4.945334434509277,5.339527606964111,4.945334434509277,5.160349369049072,5.339527606964111,5.610499858856201
4,5,2025-07-26,5.707333564758301,5.017005920410156,4.981170177459717,5.160349369049072,4.981170177459717,5.017005920410156,5.160349369049072,5.610499858856201
4,6,2025-07-27,5.6511664390563965,4.981170177459717,4.981170177459717,5.052841663360596,4.981170177459717,4.981170177459717,5.052841663360596,5.610499858856201
4,7,2025-07-28,5.59499979019165,5.124513149261475,4.981170177459717,5.124513149261475,4.981170177459717,5.124513149261475,5.124513149261475,5.610499858856201
5,1,2025-07-23,5.795000076293945,5.028509616851807,5.028509616851807,5.064427375793457,5.028509616851807,5.028509616851807,5.064427375793457,5.697000026702881
5,2,2025-07-24,5.7769999504089355,5.064427375793457,5.064427375793457,5.136263370513916,5.064427375793457,5.064427375793457,5.136263370513916,5.697000026702881
5,3,2025-07-25,5.763500213623047,4.992591857910156,4.920755863189697,5.028509616851807,4.920755863189697,4.992591857910156,5.028509616851807,5.697000026702881
5,4,2025-07-26,5.707333564758301,4.920755863189697,4.920755863189697,5.172181606292725,4.920755863189697,4.920755863189697,5.172181606292725,5.697000026702881
5,5,2025-07-27,5.6511664390563965,5.064427375793457,5.064427375793457,5.136263370513916,5.064427375793457,5.064427375793457,5.136263370513916,5.697000026702881
5,6,2025-07-28,5.59499979019165,5.064427375793457,5.064427375793457,5.064427375793457,5.064427375793457,5.064427375793457,5.064427375793457,5.697000026702881
5,7,2025-07-29,5.603499889373779,5.136263370513916,5.136263370513916,5.136263370513916,5.136263370513916,5.136263370513916,5.136263370513916,5.697000026702881
6,1,2025-07-24,5.7769999504089355,5.076671600341797,5.0406670570373535,5.076671600341797,5.0406670570373535,5.076671600341797,5.076671600341797,5.795000076293945
6,2,2025-07-25,5.763500213623047,5.148681163787842,4.968657493591309,5.148681163787842,4.968657493591309,5.148681163787842,5.148681163787842,5.795000076293945
6,3,2025-07-26,5.707333564758301,5.004662036895752,4.932652473449707,5.004662036895752,4.932652473449707,5.004662036895752,5.004662036895752,5.795000076293945
6,4,2025-07-27,5.6511664390563965,5.148681163787842,5.004662036895752,5.184686183929443,5.004662036895752,5.148681163787842,5.184686183929443,5.795000076293945
6,5,2025-07-28,5.59499979019165,5.076671600341797,5.076671600341797,5.076671600341797,5.076671600341797,5.076671600341797,5.076671600341797,5.795000076293945
6,6,2025-07-29,5.603499889373779,5.076671600341797,5.076671600341797,5.076671600341797,5.076671600341797,5.076671600341797,5.076671600341797,5.795000076293945
6,7,2025-07-30,5.570000171661377,5.148681163787842,4.968657493591309,5.148681163787842,4.968657493591309,5.148681163787842,5.148681163787842,5.795000076293945
7,1,2025-07-25,5.763500213623047,5.160905361175537,5.0887250900268555,5.160905361175537,5.0887250900268555,5.160905361175537,5.160905361175537,5.7769999504089355
7,2,2025-07-26,5.707333564758301,5.016544342041016,5.016544342041016,5.160905361175537,5.016544342041016,5.016544342041016,5.160905361175537,5.7769999504089355
7,3,2025-07-27,5.6511664390563965,5.016544342041016,5.016544342041016,5.016544342041016,5.016544342041016,5.016544342041016,5.016544342041016,5.7769999504089355
7,4,2025-07-28,5.59499979019165,5.160905361175537,5.160905361175537,5.196996212005615,5.160905361175537,5.160905361175537,5.196996212005615,5.7769999504089355
7,5,2025-07-29,5.603499889373779,5.0887250900268555,5.0887250900268555,5.124814987182617,5.0887250900268555,5.0887250900268555,5.124814987182617,5.7769999504089355
7,6,2025-07-30,5.570000171661377,5.124814987182617,5.016544342041016,5.377447128295898,5.016544342041016,5.124814987182617,5.377447128295898,5.7769999504089355
7,7,2025-07-31,4.33050012588501,5.124814987182617,4.973236560821533,5.449627876281738,4.973236560821533,5.124814987182617,5.449627876281738,5.7769999504089355
8,1,2025-07-26,5.707333564758301,5.172327995300293,5.027647495269775,5.317008972167969,5.027647495269775,5.172327995300293,5.317008972167969,5.763500213623047
8,2,2025-07-27,5.6511664390563965,5.172327995300293,5.027647495269775,5.172327995300293,5.027647495269775,5.172327995300293,5.172327995300293,5.763500213623047
8,3,2025-07-28,5.59499979019165,5.027647495269775,5.027647495269775,5.353178977966309,5.027647495269775,5.027647495269775,5.353178977966309,5.763500213623047
8,4,2025-07-29,5.603499889373779,5.172327995300293,5.027647495269775,5.389348983764648,5.027647495269775,5.172327995300293,5.389348983764648,5.763500213623047
8,5,2025-07-30,5.570000171661377,5.208498477935791,5.136157512664795,5.208498477935791,5.136157512664795,5.208498477935791,5.208498477935791,5.763500213623047
8,6,2025-07-31,4.33050012588501,5.136157512664795,5.027647495269775,5.136157512664795,5.027647495269775,5.136157512664795,5.136157512664795,5.763500213623047
