window,mse,mae,smape,crps,wis50,wis80,wis90,cov50,cov80,cov90,sharp80,ece_q,mse_naive,mae_naive,pinball_p10,pinball_p50,pinball_p90
1,0.3840335011482239,0.6118144392967224,11.352496594190598,0.6125116348266602,2.4675915241241455,6.021557807922363,11.987197875976562,0.0,0.0,0.0,0.05591828376054764,0.4999999999999999,0.019557755440473557,0.11221422255039215,0.06524822860956192,0.3059072196483612,0.5369075536727905
2,0.37955060601234436,0.610381007194519,11.292264610528946,0.610933244228363,2.4517173767089844,6.1399970054626465,12.054716110229492,0.0,0.0,0.0,0.0412837453186512,0.4999999999999999,0.019249865785241127,0.11830956488847733,0.06511551141738892,0.3051905035972595,0.5488841533660889
3,0.37355637550354004,0.6062992215156555,11.199257522821426,0.608167290687561,2.455846071243286,6.0170183181762695,11.880789756774902,0.0,0.0,0.0,0.056190285831689835,0.4999999999999999,0.017182758077979088,0.11483342200517654,0.06522731482982635,0.30314961075782776,0.5364745259284973
4,0.3574223220348358,0.5928918719291687,10.94168797135353,0.5944800972938538,2.4074034690856934,5.928919315338135,11.709376335144043,0.0,0.0,0.0,0.05119398608803749,0.4999999999999999,0.014846397563815117,0.10621445626020432,0.06389664858579636,0.29644593596458435,0.5289952158927917
5,0.329338937997818,0.5677962899208069,10.477534681558609,0.5708039999008179,2.2968406677246094,5.7190117835998535,11.39210033416748,0.0,0.0,0.0,0.04104907065629959,0.4999999999999999,0.005968585144728422,0.07088109105825424,0.060884539037942886,0.28389814496040344,0.5110166668891907
6,0.27984994649887085,0.5232480764389038,9.672488272190094,0.5255687832832336,2.1238534450531006,5.273629188537598,10.506109237670898,0.0,0.0,0.0,0.041148390620946884,0.4999999999999999,0.02242673747241497,0.12821435928344727,0.05643964186310768,0.2616240382194519,0.47092321515083313
7,0.3120279908180237,0.5416517853736877,10.32625064253807,0.5309419631958008,2.1408286094665527,5.246893882751465,10.271059036254883,0.0,0.0,0.0,0.041761670261621475,0.3714285714285714,0.31704381108283997,0.31685706973075867,0.13257023692131042,0.27082589268684387,0.3921191096305847
8,0.35048404335975647,0.5730995535850525,11.189256608486176,0.5535117387771606,2.2303922176361084,5.374460697174072,10.692341804504395,0.0,0.0,0.0,0.05683892220258713,0.28571428571428575,0.5694141983985901,0.49635738134384155,0.2227879911661148,0.28654977679252625,0.3146580755710602
9,0.37771448493003845,0.5933224558830261,11.818859726190567,0.5712639689445496,2.2749197483062744,5.632936954498291,10.613523483276367,0.0,0.0,0.0,0.06212868168950081,0.24285714285714283,0.7560166120529175,0.6250478625297546,0.3114011883735657,0.29666122794151306,0.25189247727394104
10,0.4352479577064514,0.632362425327301,12.793803215026855,0.6152729392051697,2.4879531860351562,6.064271450042725,11.978118896484375,0.0,0.0,0.0,0.05187041312456131,0.24285714285714283,0.9075526595115662,0.7455950379371643,0.4069831967353821,0.3161812126636505,0.1994439661502838
