window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
1,1,2025-07-19,5.588833332061768,5.5737080574035645,5.423537254333496,5.716541290283203,5.423537254333496,5.5737080574035645,5.716541290283203,5.578000068664551
1,2,2025-07-20,5.599666595458984,5.555074691772461,5.229495525360107,5.8147149085998535,5.229495525360107,5.555074691772461,5.8147149085998535,5.578000068664551
1,3,2025-07-21,5.610499858856201,5.561064720153809,5.132536888122559,5.859287738800049,5.132536888122559,5.561064720153809,5.859287738800049,5.578000068664551
1,4,2025-07-22,5.697000026702881,5.554647445678711,5.017951011657715,5.918947219848633,5.017951011657715,5.554647445678711,5.918947219848633,5.578000068664551
1,5,2025-07-23,5.795000076293945,5.568775653839111,4.995135307312012,5.934141159057617,4.995135307312012,5.568775653839111,5.934141159057617,5.578000068664551
1,6,2025-07-24,5.7769999504089355,5.573493480682373,5.010964393615723,6.011848449707031,5.010964393615723,5.573493480682373,6.011848449707031,5.578000068664551
1,7,2025-07-25,5.763500213623047,5.558713912963867,4.9753875732421875,6.172801494598389,4.9753875732421875,5.558713912963867,6.172801494598389,5.578000068664551
2,1,2025-07-20,5.599666595458984,5.587985038757324,5.471965312957764,5.697768211364746,5.471965312957764,5.587985038757324,5.697768211364746,5.588833332061768
2,2,2025-07-21,5.610499858856201,5.576125621795654,5.391103267669678,5.827857494354248,5.391103267669678,5.576125621795654,5.827857494354248,5.588833332061768
2,3,2025-07-22,5.697000026702881,5.580146789550781,5.337296485900879,5.890153408050537,5.337296485900879,5.580146789550781,5.890153408050537,5.588833332061768
2,4,2025-07-23,5.795000076293945,5.605396747589111,5.224217891693115,5.940324306488037,5.224217891693115,5.605396747589111,5.940324306488037,5.588833332061768
2,5,2025-07-24,5.7769999504089355,5.596472263336182,5.182170867919922,6.044585704803467,5.182170867919922,5.596472263336182,6.044585704803467,5.588833332061768
2,6,2025-07-25,5.763500213623047,5.597533702850342,5.134106159210205,6.1192545890808105,5.134106159210205,5.597533702850342,6.1192545890808105,5.588833332061768
2,7,2025-07-26,5.707333564758301,5.575067520141602,5.096030235290527,6.2056684494018555,5.096030235290527,5.575067520141602,6.2056684494018555,5.588833332061768
3,1,2025-07-21,5.610499858856201,5.598616123199463,5.484975814819336,5.756096839904785,5.484975814819336,5.598616123199463,5.756096839904785,5.599666595458984
3,2,2025-07-22,5.697000026702881,5.599246501922607,5.416472911834717,5.8987226486206055,5.416472911834717,5.599246501922607,5.8987226486206055,5.599666595458984
3,3,2025-07-23,5.795000076293945,5.615445137023926,5.2250165939331055,5.978128910064697,5.2250165939331055,5.615445137023926,5.978128910064697,5.599666595458984
3,4,2025-07-24,5.7769999504089355,5.593157768249512,5.1930060386657715,6.0976409912109375,5.1930060386657715,5.593157768249512,6.0976409912109375,5.599666595458984
3,5,2025-07-25,5.763500213623047,5.594837188720703,5.095544815063477,6.081418991088867,5.095544815063477,5.594837188720703,6.081418991088867,5.599666595458984
3,6,2025-07-26,5.707333564758301,5.62556791305542,5.071303844451904,6.151771068572998,5.071303844451904,5.62556791305542,6.151771068572998,5.599666595458984
3,7,2025-07-27,5.6511664390563965,5.6395134925842285,4.999838352203369,6.3146162033081055,4.999838352203369,5.6395134925842285,6.3146162033081055,5.599666595458984
4,1,2025-07-22,5.697000026702881,5.611541271209717,5.4773125648498535,5.73082160949707,5.4773125648498535,5.611541271209717,5.73082160949707,5.610499858856201
4,2,2025-07-23,5.795000076293945,5.616125583648682,5.400351047515869,5.850550174713135,5.400351047515869,5.616125583648682,5.850550174713135,5.610499858856201
4,3,2025-07-24,5.7769999504089355,5.596355438232422,5.338797569274902,5.936131477355957,5.338797569274902,5.596355438232422,5.936131477355957,5.610499858856201
4,4,2025-07-25,5.763500213623047,5.593032360076904,5.1905131340026855,5.985612392425537,5.1905131340026855,5.593032360076904,5.985612392425537,5.610499858856201
4,5,2025-07-26,5.707333564758301,5.5992655754089355,5.07670783996582,6.0539631843566895,5.07670783996582,5.5992655754089355,6.0539631843566895,5.610499858856201
4,6,2025-07-27,5.6511664390563965,5.616751670837402,5.043535232543945,6.181250095367432,5.043535232543945,5.616751670837402,6.181250095367432,5.610499858856201
4,7,2025-07-28,5.59499979019165,5.621341705322266,5.023504734039307,6.150306701660156,5.023504734039307,5.621341705322266,6.150306701660156,5.610499858856201
5,1,2025-07-23,5.795000076293945,5.702114105224609,5.604722023010254,5.838710784912109,5.604722023010254,5.702114105224609,5.838710784912109,5.697000026702881
5,2,2025-07-24,5.7769999504089355,5.693380355834961,5.488563060760498,5.965092182159424,5.488563060760498,5.693380355834961,5.965092182159424,5.697000026702881
5,3,2025-07-25,5.763500213623047,5.698278427124023,5.333810806274414,6.108000755310059,5.333810806274414,5.698278427124023,6.108000755310059,5.697000026702881
5,4,2025-07-26,5.707333564758301,5.678500175476074,5.191452503204346,6.137545585632324,5.191452503204346,5.678500175476074,6.137545585632324,5.697000026702881
5,5,2025-07-27,5.6511664390563965,5.692109107971191,5.157540321350098,6.239964485168457,5.157540321350098,5.692109107971191,6.239964485168457,5.697000026702881
5,6,2025-07-28,5.59499979019165,5.675741195678711,5.093035697937012,6.266897201538086,5.093035697937012,5.675741195678711,6.266897201538086,5.697000026702881
5,7,2025-07-29,5.603499889373779,5.667473316192627,4.9979939460754395,6.316685676574707,4.9979939460754395,5.667473316192627,6.316685676574707,5.697000026702881
6,1,2025-07-24,5.7769999504089355,5.800909042358398,5.674656867980957,5.902369976043701,5.674656867980957,5.800909042358398,5.902369976043701,5.795000076293945
