window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
1,1,2025-07-19,5.588833332061768,5.576278209686279,5.412384033203125,5.7627949714660645,5.412384033203125,5.576278209686279,5.7627949714660645,5.578000068664551
1,2,2025-07-20,5.599666595458984,5.587825298309326,5.270009517669678,6.008224964141846,5.270009517669678,5.587825298309326,6.008224964141846,5.578000068664551
1,3,2025-07-21,5.610499858856201,5.581962585449219,5.21506929397583,6.186875820159912,5.21506929397583,5.581962585449219,6.186875820159912,5.578000068664551
1,4,2025-07-22,5.697000026702881,5.617405891418457,5.100637435913086,6.364981174468994,5.100637435913086,5.617405891418457,6.364981174468994,5.578000068664551
1,5,2025-07-23,5.795000076293945,5.637040138244629,5.0367231369018555,6.400176048278809,5.0367231369018555,5.637040138244629,6.400176048278809,5.578000068664551
1,6,2025-07-24,5.7769999504089355,5.607182502746582,5.07008171081543,6.505732536315918,5.07008171081543,5.607182502746582,6.505732536315918,5.578000068664551
1,7,2025-07-25,5.763500213623047,5.574739456176758,4.9869608879089355,6.500990867614746,4.9869608879089355,5.574739456176758,6.500990867614746,5.578000068664551
2,1,2025-07-20,5.599666595458984,5.585210800170898,5.340019702911377,5.79807710647583,5.340019702911377,5.585210800170898,5.79807710647583,5.588833332061768
2,2,2025-07-21,5.610499858856201,5.588833332061768,5.18217658996582,5.91827917098999,5.18217658996582,5.588833332061768,5.91827917098999,5.588833332061768
2,3,2025-07-22,5.697000026702881,5.5753912925720215,5.063301086425781,6.104494571685791,5.063301086425781,5.5753912925720215,6.104494571685791,5.588833332061768
2,4,2025-07-23,5.795000076293945,5.59556770324707,5.035487651824951,6.11672306060791,5.035487651824951,5.59556770324707,6.11672306060791,5.588833332061768
2,5,2025-07-24,5.7769999504089355,5.601616859436035,4.975583076477051,6.124846935272217,4.975583076477051,5.601616859436035,6.124846935272217,5.588833332061768
2,6,2025-07-25,5.763500213623047,5.599369049072266,4.926939010620117,6.2967705726623535,4.926939010620117,5.599369049072266,6.2967705726623535,5.588833332061768
2,7,2025-07-26,5.707333564758301,5.538331031799316,4.880548477172852,6.36420202255249,4.880548477172852,5.538331031799316,6.36420202255249,5.588833332061768
3,1,2025-07-21,5.610499858856201,5.604682445526123,5.392494201660156,5.87039852142334,5.392494201660156,5.604682445526123,5.87039852142334,5.599666595458984
3,2,2025-07-22,5.697000026702881,5.600012302398682,5.2942352294921875,6.072035312652588,5.2942352294921875,5.600012302398682,6.072035312652588,5.599666595458984
3,3,2025-07-23,5.795000076293945,5.604510307312012,5.117223739624023,6.196428298950195,5.117223739624023,5.604510307312012,6.196428298950195,5.599666595458984
3,4,2025-07-24,5.7769999504089355,5.615421295166016,5.0556640625,6.269639015197754,5.0556640625,5.615421295166016,6.269639015197754,5.599666595458984
3,5,2025-07-25,5.763500213623047,5.614734649658203,5.01592493057251,6.342531681060791,5.01592493057251,5.614734649658203,6.342531681060791,5.599666595458984
3,6,2025-07-26,5.707333564758301,5.595001697540283,4.8578057289123535,6.460365295410156,4.8578057289123535,5.595001697540283,6.460365295410156,5.599666595458984
3,7,2025-07-27,5.6511664390563965,5.620802879333496,4.779696941375732,6.547719478607178,4.779696941375732,5.620802879333496,6.547719478607178,5.599666595458984
4,1,2025-07-22,5.697000026702881,5.611019611358643,5.437369346618652,5.9164323806762695,5.437369346618652,5.611019611358643,5.9164323806762695,5.610499858856201
4,2,2025-07-23,5.795000076293945,5.5992512702941895,5.249051570892334,6.021488666534424,5.249051570892334,5.5992512702941895,6.021488666534424,5.610499858856201
4,3,2025-07-24,5.7769999504089355,5.596314907073975,5.16595983505249,6.121579647064209,5.16595983505249,5.596314907073975,6.121579647064209,5.610499858856201
4,4,2025-07-25,5.763500213623047,5.587162971496582,5.056005477905273,6.120182514190674,5.056005477905273,5.587162971496582,6.120182514190674,5.610499858856201
4,5,2025-07-26,5.707333564758301,5.563407897949219,4.950562477111816,6.123924732208252,4.950562477111816,5.563407897949219,6.123924732208252,5.610499858856201
4,6,2025-07-27,5.6511664390563965,5.595104217529297,4.839122295379639,6.159214973449707,4.839122295379639,5.595104217529297,6.159214973449707,5.610499858856201
4,7,2025-07-28,5.59499979019165,5.6070380210876465,4.812636375427246,6.306135177612305,4.812636375427246,5.6070380210876465,6.306135177612305,5.610499858856201
5,1,2025-07-23,5.795000076293945,5.68961763381958,5.3907856941223145,5.9930500984191895,5.3907856941223145,5.68961763381958,5.9930500984191895,5.697000026702881
5,2,2025-07-24,5.7769999504089355,5.658083915710449,5.24406099319458,6.107673645019531,5.24406099319458,5.658083915710449,6.107673645019531,5.697000026702881
5,3,2025-07-25,5.763500213623047,5.659307479858398,5.116328716278076,6.304563522338867,5.116328716278076,5.659307479858398,6.304563522338867,5.697000026702881
