window,mse,mae,smape,crps,wis50,wis80,wis90,cov50,cov80,cov90,sharp80,ece_q,mse_naive,mae_naive,pinball_p10,pinball_p50,pinball_p90
1,0.013838197104632854,0.09272371232509613,1.6328515484929085,0.09786105155944824,0.481575071811676,1.091130018234253,1.4539779424667358,1.0,1.0,1.0,1.091130018234253,0.24887218045112783,0.019557754911407495,0.11221422467912946,0.05342334508895874,0.046361856162548065,0.05568965896964073
2,0.020214354619383812,0.1236686035990715,2.1831419318914413,0.10633128136396408,0.4907371699810028,1.0456197261810303,1.4907251596450806,1.0,1.0,1.0,1.0456197261810303,0.23383458646616537,0.01924986559424724,0.11830956595284599,0.06494206935167313,0.06183430179953575,0.03961990028619766
3,0.015358008444309235,0.1066192239522934,1.8772689625620842,0.10853806883096695,0.4765539765357971,1.17801034450531,1.5494019985198975,1.0,1.0,1.0,1.17801034450531,0.21954887218045113,0.01718275836511956,0.1148334230695452,0.06412078440189362,0.0533096119761467,0.05368024855852127
4,0.019064944237470627,0.1215396597981453,2.1438494324684143,0.11846109479665756,0.5411372184753418,1.0368930101394653,1.3923202753067017,0.7142857142857143,1.0,1.0,1.0368930101394653,0.22932330827067668,0.014846398255778175,0.10621445519583565,0.06393275409936905,0.06076982989907265,0.039756543934345245
5,0.006141421850770712,0.06898771226406097,1.2107983231544495,0.11011342704296112,0.5720237493515015,1.1902977228164673,1.6517761945724487,0.8571428571428571,1.0,1.0,1.1902977228164673,0.16691729323308271,0.005968585152491609,0.07088109425136022,0.05981501564383507,0.03449385613203049,0.059214748442173004
6,0.013197176158428192,0.09601777046918869,1.688593067228794,0.10794460773468018,0.5608235001564026,1.144267201423645,1.5047498941421509,1.0,1.0,1.0,1.144267201423645,0.23383458646616548,0.02242673877744242,0.12821435928344727,0.04570502042770386,0.048008885234594345,0.068721704185009
7,0.37614279985427856,0.35399219393730164,6.656447798013687,0.270824670791626,1.1217596530914307,2.1980693340301514,3.250422954559326,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.037560224533081,0.26992481203007523,0.31704381442997537,0.316857065473284,0.13143005967140198,0.17699609696865082,0.08837687969207764
8,0.5271747708320618,0.4676241874694824,9.088176488876343,0.3742106258869171,1.6690698862075806,3.0223374366760254,4.383512020111084,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.2349861860275269,0.2669172932330827,0.5694142026283251,0.4963573728288923,0.188020259141922,0.2338120937347412,0.1142134740948677
9,0.7724700570106506,0.6360953450202942,12.454747408628464,0.49951860308647156,2.205038070678711,4.077423095703125,5.599678993225098,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.1655247211456299,0.3345864661654135,0.7560166323915253,0.6250478880746024,0.2811301052570343,0.3180476725101471,0.12661217153072357
10,0.8486410975456238,0.7186576724052429,14.319486916065216,0.578913152217865,2.5678274631500244,4.625973701477051,6.282663822174072,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.1191484928131104,0.34962406015037595,0.9075526591866492,0.7455950464521136,0.3309788703918457,0.35932883620262146,0.13161848485469818
11,0.9772273898124695,0.8379874229431152,16.81678295135498,0.674453616142273,2.987267017364502,5.416119575500488,7.773909091949463,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.11017644405365,0.34962406015037595,1.025866429132488,0.8604284014020648,0.3958854675292969,0.4189937114715576,0.14572648704051971
12,1.2767349481582642,1.0506012439727783,20.996658504009247,0.8659715056419373,3.8661952018737793,6.953278541564941,10.167465209960938,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0700947046279907,0.4473684210526316,1.2600048995685549,1.0435713359287806,0.532489538192749,0.5253006219863892,0.16283833980560303
