window,horizon,t,truth,median,low80,high80,q10,q50,q90,naive
1,1,2025-07-19,5.588833332061768,5.5778279304504395,5.209898948669434,6.053555011749268,5.209898948669434,5.5778279304504395,6.053555011749268,5.578000068664551
1,2,2025-07-20,5.599666595458984,5.611512184143066,5.099634170532227,6.223315715789795,5.099634170532227,5.611512184143066,6.223315715789795,5.578000068664551
1,3,2025-07-21,5.610499858856201,5.654644966125488,5.076629161834717,6.379347324371338,5.076629161834717,5.654644966125488,6.379347324371338,5.578000068664551
1,4,2025-07-22,5.697000026702881,5.711319923400879,5.026845932006836,6.48699951171875,5.026845932006836,5.711319923400879,6.48699951171875,5.578000068664551
1,5,2025-07-23,5.795000076293945,5.732873916625977,4.994328498840332,6.471112251281738,4.994328498840332,5.732873916625977,6.471112251281738,5.578000068664551
1,6,2025-07-24,5.7769999504089355,5.7451043128967285,4.939240455627441,6.598137855529785,4.939240455627441,5.7451043128967285,6.598137855529785,5.578000068664551
1,7,2025-07-25,5.763500213623047,5.676863670349121,4.849250316619873,6.706180095672607,4.849250316619873,5.676863670349121,6.706180095672607,5.578000068664551
2,1,2025-07-20,5.599666595458984,5.585210800170898,5.1847662925720215,5.95868444442749,5.1847662925720215,5.585210800170898,5.95868444442749,5.588833332061768
2,2,2025-07-21,5.610499858856201,5.59159517288208,5.051588535308838,6.097977638244629,5.051588535308838,5.59159517288208,6.097977638244629,5.588833332061768
2,3,2025-07-22,5.697000026702881,5.587281227111816,4.981977939605713,6.289968967437744,4.981977939605713,5.587281227111816,6.289968967437744,5.588833332061768
2,4,2025-07-23,5.795000076293945,5.603348731994629,4.934979438781738,6.332149028778076,4.934979438781738,5.603348731994629,6.332149028778076,5.588833332061768
2,5,2025-07-24,5.7769999504089355,5.577112197875977,4.889054775238037,6.430572509765625,4.889054775238037,5.577112197875977,6.430572509765625,5.588833332061768
2,6,2025-07-25,5.763500213623047,5.617900371551514,4.843679428100586,6.503810405731201,4.843679428100586,5.617900371551514,6.503810405731201,5.588833332061768
2,7,2025-07-26,5.707333564758301,5.579877853393555,4.6671271324157715,6.559197425842285,4.6671271324157715,5.579877853393555,6.559197425842285,5.588833332061768
3,1,2025-07-21,5.610499858856201,5.602433204650879,5.304903030395508,5.998325347900391,5.304903030395508,5.602433204650879,5.998325347900391,5.599666595458984
3,2,2025-07-22,5.697000026702881,5.6300048828125,5.10270881652832,6.170312404632568,5.10270881652832,5.6300048828125,6.170312404632568,5.599666595458984
3,3,2025-07-23,5.795000076293945,5.569493293762207,5.003856658935547,6.302044868469238,5.003856658935547,5.569493293762207,6.302044868469238,5.599666595458984
3,4,2025-07-24,5.7769999504089355,5.57861328125,4.920485019683838,6.381067276000977,4.920485019683838,5.57861328125,6.381067276000977,5.599666595458984
3,5,2025-07-25,5.763500213623047,5.591205596923828,4.8530378341674805,6.5852251052856445,4.8530378341674805,5.591205596923828,6.5852251052856445,5.599666595458984
3,6,2025-07-26,5.707333564758301,5.527690887451172,4.767052173614502,6.7556633949279785,4.767052173614502,5.527690887451172,6.7556633949279785,5.599666595458984
3,7,2025-07-27,5.6511664390563965,5.556438446044922,4.761110782623291,6.787421226501465,4.761110782623291,5.556438446044922,6.787421226501465,5.599666595458984
4,1,2025-07-22,5.697000026702881,5.618127346038818,5.298983573913574,6.121466159820557,5.298983573913574,5.618127346038818,6.121466159820557,5.610499858856201
4,2,2025-07-23,5.795000076293945,5.607382297515869,5.195904731750488,6.195128917694092,5.195904731750488,5.607382297515869,6.195128917694092,5.610499858856201
4,3,2025-07-24,5.7769999504089355,5.5790629386901855,5.076653480529785,6.241246700286865,5.076653480529785,5.5790629386901855,6.241246700286865,5.610499858856201
4,4,2025-07-25,5.763500213623047,5.579407215118408,4.966146469116211,6.258030414581299,4.966146469116211,5.579407215118408,6.258030414581299,5.610499858856201
4,5,2025-07-26,5.707333564758301,5.568907737731934,4.826888561248779,6.324750900268555,4.826888561248779,5.568907737731934,6.324750900268555,5.610499858856201
4,6,2025-07-27,5.6511664390563965,5.630633354187012,4.720417499542236,6.415956020355225,4.720417499542236,5.630633354187012,6.415956020355225,5.610499858856201
4,7,2025-07-28,5.59499979019165,5.646827220916748,4.694807529449463,6.4843058586120605,4.694807529449463,5.646827220916748,6.4843058586120605,5.610499858856201
5,1,2025-07-23,5.795000076293945,5.678735733032227,5.2448930740356445,6.036580562591553,5.2448930740356445,5.678735733032227,6.036580562591553,5.697000026702881
5,2,2025-07-24,5.7769999504089355,5.632636070251465,5.11323356628418,6.2550435066223145,5.11323356628418,5.632636070251465,6.2550435066223145,5.697000026702881
5,3,2025-07-25,5.763500213623047,5.628637313842773,4.980202674865723,6.381291389465332,4.980202674865723,5.628637313842773,6.381291389465332,5.697000026702881
5,4,2025-07-26,5.707333564758301,5.624988555908203,4.835587978363037,6.480488300323486,4.835587978363037,5.624988555908203,6.480488300323486,5.697000026702881
5,5,2025-07-27,5.6511664390563965,5.608861923217773,4.783909320831299,6.531915187835693,4.783909320831299,5.608861923217773,6.531915187835693,5.697000026702881
5,6,2025-07-28,5.59499979019165,5.6109395027160645,4.770813941955566,6.596906661987305,4.770813941955566,5.6109395027160645,6.596906661987305,5.697000026702881
5,7,2025-07-29,5.603499889373779,5.5769195556640625,4.710158348083496,6.746073246002197,4.710158348083496,5.5769195556640625,6.746073246002197,5.697000026702881
6,1,2025-07-24,5.7769999504089355,5.782310485839844,5.466782569885254,6.249526023864746,5.466782569885254,5.782310485839844,6.249526023864746,5.795000076293945
6,2,2025-07-25,5.763500213623047,5.773212432861328,5.2925591468811035,6.457400321960449,5.2925591468811035,5.773212432861328,6.457400321960449,5.795000076293945
6,3,2025-07-26,5.707333564758301,5.7835612297058105,5.176750183105469,6.537887096405029,5.176750183105469,5.7835612297058105,6.537887096405029,5.795000076293945
6,4,2025-07-27,5.6511664390563965,5.7691144943237305,5.131548881530762,6.4575605392456055,5.131548881530762,5.7691144943237305,6.4575605392456055,5.795000076293945
6,5,2025-07-28,5.59499979019165,5.725638389587402,5.014518737792969,6.523651599884033,5.014518737792969,5.725638389587402,6.523651599884033,5.795000076293945
6,6,2025-07-29,5.603499889373779,5.752039432525635,4.92050313949585,6.545533657073975,4.92050313949585,5.752039432525635,6.545533657073975,5.795000076293945
6,7,2025-07-30,5.570000171661377,5.73165225982666,4.96491003036499,6.636322975158691,4.96491003036499,5.73165225982666,6.636322975158691,5.795000076293945
7,1,2025-07-25,5.763500213623047,5.783960819244385,5.435563087463379,6.255673408508301,5.435563087463379,5.783960819244385,6.255673408508301,5.7769999504089355
7,2,2025-07-26,5.707333564758301,5.792897701263428,5.29073429107666,6.368703365325928,5.29073429107666,5.792897701263428,6.368703365325928,5.7769999504089355
7,3,2025-07-27,5.6511664390563965,5.819968223571777,5.187823295593262,6.398471832275391,5.187823295593262,5.819968223571777,6.398471832275391,5.7769999504089355
