window,mse,mae,smape,crps,wis50,wis80,wis90,cov50,cov80,cov90,sharp80,ece_q,mse_naive,mae_naive,pinball_p10,pinball_p50,pinball_p90
1,0.0021140240132808685,0.037424903362989426,0.6556115578860044,0.12003515660762787,0.6628633141517639,1.3889743089675903,1.8209840059280396,1.0,1.0,1.0,1.3889743089675903,0.22556390977443608,0.019557754911407495,0.11221422467912946,0.06622389703989029,0.018712451681494713,0.07267354428768158
2,0.018104884773492813,0.11538199335336685,2.0344819873571396,0.1330646574497223,0.6527675986289978,1.3741694688796997,1.7469485998153687,1.0,1.0,1.0,1.3741694688796997,0.2263157894736842,0.01924986559424724,0.11830956595284599,0.07709752768278122,0.057690996676683426,0.060319431126117706
3,0.023670615628361702,0.13508865237236023,2.3875143378973007,0.14135245978832245,0.6968713402748108,1.4667006731033325,1.8561594486236572,1.0,1.0,1.0,1.4667006731033325,0.23383458646616537,0.01718275836511956,0.1148334230695452,0.07554779946804047,0.06754432618618011,0.07112228125333786
4,0.019537148997187614,0.12275811284780502,2.16545183211565,0.13489249348640442,0.6931248903274536,1.3230119943618774,1.793375849723816,1.0,1.0,1.0,1.3230119943618774,0.21954887218045113,0.014846398255778175,0.10621445519583565,0.074374258518219,0.06137905642390251,0.057926926761865616
5,0.008868183940649033,0.08038009703159332,1.4127830043435097,0.13929308950901031,0.7138693928718567,1.512785792350769,1.9978586435317993,0.8571428571428571,1.0,1.0,1.512785792350769,0.18345864661654135,0.005968585152491609,0.07088109425136022,0.07791001349687576,0.04019004851579666,0.07336855679750443
6,0.012158109806478024,0.09286124259233475,1.6339149326086044,0.12182005494832993,0.623562216758728,1.3486156463623047,1.736350178718567,1.0,1.0,1.0,1.3486156463623047,0.23383458646616548,0.02242673877744242,0.12821435928344727,0.05285610631108284,0.046430621296167374,0.08200545608997345
7,0.32486972212791443,0.34904226660728455,6.579183042049408,0.2781398594379425,1.273482322692871,2.280104637145996,2.7996132373809814,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.3490501642227173,0.23383458646616537,0.31704381442997537,0.316857065473284,0.12333933264017105,0.17452113330364227,0.10467113554477692
8,0.5708171725273132,0.48309168219566345,9.351561963558197,0.3808595836162567,1.7745274305343628,3.047722339630127,3.4655165672302246,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.5510790348052979,0.23684210526315788,0.5694142026283251,0.4963573728288923,0.1686393916606903,0.24154584109783173,0.1361328661441803
9,0.8123673796653748,0.6454164385795593,12.611532211303711,0.47182589769363403,2.216442108154297,3.029423236846924,3.398375988006592,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.492357611656189,0.28195488721804507,0.7560166323915253,0.6250478880746024,0.16697199642658234,0.32270821928977966,0.1359703242778778
10,0.8615961670875549,0.7222318649291992,14.38300758600235,0.5659370422363281,2.6092236042022705,4.2645087242126465,5.53623628616333,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.431631326675415,0.3345864661654135,0.9075526591866492,0.7455950464521136,0.27394697070121765,0.3611159324645996,0.1525038629770279
11,0.9355879426002502,0.8198359608650208,16.49385541677475,0.6259132623672485,2.8616957664489746,4.7015509605407715,5.364159107208252,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.4668267965316772,0.34962406015037595,1.025866429132488,0.8604284014020648,0.3034054934978485,0.4099179804325104,0.16674961149692535
12,1.3007608652114868,1.0582845211029053,21.13034576177597,0.8171771764755249,3.707141399383545,5.869337558746338,8.040886878967285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.4458558559417725,0.4398496240601504,1.2600048995685549,1.0435713359287806,0.40255603194236755,0.5291422605514526,0.18437768518924713
13,1.5289329290390015,1.2355626821517944,24.664533138275146,0.9480240941047668,4.316287517547607,6.633979797363281,8.42411994934082,0.0,0.0,0.14285714285714285,1.5003637075424194,0.4924812030075188,1.3897858532527283,1.1785002435956682,0.4620254933834076,0.6177813410758972,0.20137254893779755
14,0.004882292356342077,0.06949043273925781,1.5921501442790031,0.10350961238145828,0.5485068559646606,1.154532551765442,1.4705160856246948,1.0,1.0,1.0,1.154532551765442,0.23834586466165408,0.0049731458852225584,0.06785692487444196,0.06144791468977928,0.034745216369628906,0.05400534346699715
15,0.0008772089495323598,0.02478824369609356,0.5629861261695623,0.09401907026767731,0.5259333252906799,1.130468487739563,1.3971434831619263,1.0,1.0,1.0,1.130468487739563,0.22556390977443608,0.0008327495228773582,0.021714346749441966,0.05437686666846275,0.01239412184804678,0.05866997689008713
16,0.0010983890388160944,0.027436187490820885,0.6211218889802694,0.09964169561862946,0.5656688809394836,1.1266053915023804,1.4995768070220947,1.0,1.0,1.0,1.1266053915023804,0.2481203007518797,0.0009885291515924369,0.02609525408063616,0.053908467292785645,0.013718093745410442,0.05875208601355553
17,0.0014540681149810553,0.03065783716738224,0.6950209382921457,0.1074955090880394,0.5823997259140015,1.2075680494308472,1.4951305389404297,1.0,1.0,1.0,1.2075680494308472,0.22556390977443608,0.0010535884746981797,0.02883345740182059,0.05538523197174072,0.01532891858369112,0.065371572971344
18,0.0013185611460357904,0.02921983227133751,0.6629836279898882,0.09570778161287308,0.5238988995552063,1.1280664205551147,1.4265954494476318,1.0,1.0,1.0,1.1280664205551147,0.22556390977443608,0.0010684545781194693,0.02992868423461914,0.056620627641677856,0.014609916135668755,0.0561860129237175
19,0.0042740837670862675,0.055209703743457794,1.2504234910011292,0.11215559393167496,0.6236066818237305,1.190509557723999,1.5253236293792725,1.0,1.0,1.0,1.190509557723999,0.22556390977443608,0.006455659142927418,0.06971447808401925,0.06358299404382706,0.027604851871728897,0.05546797066926956
20,0.0015328729059547186,0.032406534999608994,0.731109781190753,0.10065241158008575,0.5700253248214722,1.1649038791656494,1.4817770719528198,1.0,1.0,1.0,1.1649038791656494,0.21052631578947367,0.004603083645731333,0.05928591319492885,0.06005362421274185,0.016203267499804497,0.05643676966428757
21,0.012195008806884289,0.1062827780842781,2.411782182753086,0.11059008538722992,0.5674671530723572,1.0862324237823486,1.4429914951324463,0.8571428571428571,1.0,1.0,1.0862324237823486,0.2263157894736842,0.00720874168694406,0.08050005776541573,0.06148624047636986,0.05314138904213905,0.04713701084256172
22,0.003495151409879327,0.0507027767598629,1.1410805396735668,0.09455467760562897,0.5161060690879822,1.0687506198883057,1.3337246179580688,1.0,1.0,1.0,1.0687506198883057,0.2180451127819549,0.0008130534768692346,0.02499995912824358,0.05140012130141258,0.02535138837993145,0.05547494441270828
23,0.0016834496054798365,0.036265987902879715,0.8122800849378109,0.0954664945602417,0.5478801727294922,1.044468879699707,1.335329294204712,1.0,1.0,1.0,1.044468879699707,0.22556390977443608,0.0011678893194389925,0.030261925288609097,0.04850145801901817,0.018132993951439857,0.05594542622566223
24,0.0047959983348846436,0.05968393757939339,1.3451064936816692,0.10699273645877838,0.5866187810897827,1.1449015140533447,1.476118803024292,1.0,1.0,1.0,1.1449015140533447,0.2180451127819549,0.001859333514273333,0.03909506116594587,0.05674907565116882,0.029841968789696693,0.05774107947945595
25,0.0016560759395360947,0.03139468654990196,0.7037580478936434,0.09761948883533478,0.5211851000785828,1.0616408586502075,1.3824068307876587,1.0,1.0,1.0,1.0616408586502075,0.21052631578947367,0.0029024578863235157,0.05149991171700614,0.049324218183755875,0.01569734327495098,0.05683986097574234
26,0.003800675505772233,0.056641578674316406,1.2628545053303242,0.09953325241804123,0.5371055006980896,1.1378897428512573,1.4693034887313843,1.0,1.0,1.0,1.1378897428512573,0.24586466165413534,0.002786801975844355,0.047714437757219584,0.05052807927131653,0.028320789337158203,0.06326090544462204
27,0.001440616324543953,0.034988608211278915,0.7855460047721863,0.10649216175079346,0.6053014397621155,1.2234132289886475,1.5629700422286987,1.0,1.0,1.0,1.2234132289886475,0.22556390977443608,0.0014081733191752782,0.029214177812848772,0.05453703552484512,0.017494304105639458,0.06780429184436798
28,0.005128427408635616,0.05989211052656174,1.3381305150687695,0.10918671637773514,0.6320801377296448,1.1755412817001343,1.4871631860733032,1.0,1.0,1.0,1.1755412817001343,0.2330827067669173,0.0008475002398102203,0.022142955235072544,0.04932957887649536,0.02994605526328087,0.06822456419467926
29,0.003475280711427331,0.05261080712080002,1.1768444441258907,0.10634418576955795,0.5546411275863647,1.2035144567489624,1.5561144351959229,1.0,1.0,1.0,1.2035144567489624,0.24060150375939854,0.0016062258644719155,0.03428588594709124,0.04948221519589424,0.02630540356040001,0.07086924463510513
30,0.0006614996818825603,0.020739691331982613,0.4679534584283829,0.09355383366346359,0.5352533459663391,1.040178656578064,1.3143174648284912,1.0,1.0,1.0,1.040178656578064,0.2330827067669173,0.001217324077255658,0.029738289969308034,0.05014117434620857,0.010369845665991306,0.053876690566539764
31,0.0013999867951497436,0.030895233154296875,0.6943910848349333,0.09874492138624191,0.5477291941642761,1.1548988819122314,1.4843690395355225,1.0,1.0,1.0,1.1548988819122314,0.22556390977443608,0.0008520668839732284,0.02328545706612723,0.04975094273686409,0.015447616577148438,0.06573896110057831
